p_1;p_2;p_3;p_4;p_5;p_6;p_7;p_8;p_9;p_10;p_11;p_12;p_13;p_14;p_15;p_16;p_17;p_18;p_19;p_20;p_21;p_22;p_23;p_24;p_25;p_26;p_27;p_28;p_29;p_30;p_31;p_32;p_33;p_34;p_35
0,3918263;0,3135799;-0,1873239;0,1726503;-0,0585134;0,1337804;-1,041789;0,1183378;0,6169981;0,416219;0,02882189;0,0235002;0,6071419;0,5111131;-0,08413279;0,4770727;0,6623698;0,7124491;-0,3114567;-0,1623539;-0,03323193;-0,0540306;0,09693065;0,317788;-0,02740961;-0,1052856;0,1885332;0,1237364;0,3333625;-0,0388273;0,2282256;-0,3384005;-0,4718448;-0,428391;0,120577
0,1817774;0,07025176;-0,438053;-0,02053851;-0,2841156;-0,06571539;-1,352914;-0,08450323;0,4024764;0,1903585;-0,2539791;-0,2215995;0,3703611;0,3129346;-0,3502765;0,2534796;0,4841672;0,5356876;-0,5912436;-0,4210103;-0,2917146;-0,2996503;-0,1626757;0,07452869;-0,2673623;-0,3798975;-0,0899106;-0,09062737;0,09302721;-0,3157567;-0,01936394;-0,6984515;-0,7445359;-0,7062261;-0,06615329
-0,04575497;-0,1772956;-0,6733926;-0,208819;-0,5300557;-0,3064738;-1,673345;-0,2725027;0,1998034;-0,02163398;-0,5234028;-0,4856388;0,1441464;0,07116526;-0,6206792;-0,03014159;0,2542597;0,3838719;-0,8708014;-0,6726122;-0,5328164;-0,590021;-0,4267952;-0,2119547;-0,5102713;-0,6475812;-0,4058079;-0,3098468;-0,1402678;-0,5633159;-0,3151268;-1,022227;-1,024833;-0,9924846;-0,2784674
-0,3239612;-0,442451;-0,9203719;-0,4384167;-0,7840004;-0,5770435;-1,964079;-0,5082345;0,004279494;-0,2611426;-0,8038272;-0,7542785;-0,07959318;-0,1835948;-0,9053282;-0,279178;0,06328106;0,148339;-1,17227;-0,9557078;-0,7664514;-0,8571342;-0,6994323;-0,4936501;-0,7680995;-0,9280062;-0,6607626;-0,546367;-0,3587509;-0,8167395;-0,5746503;-1,339976;-1,308061;-1,323833;-0,5223801
-0,5943395;-0,6764683;-1,178921;-0,6925088;-1,100365;-0,8347449;-2,25723;-0,7469223;-0,2213733;-0,5465826;-1,0545;-1,030736;-0,2419354;-0,4579837;-1,18646;-0,5352842;-0,1765333;-0,08003092;-1,467399;-1,241119;-1,057841;-1,1466;-0,955015;-0,757506;-0,9851893;-1,195006;-0,9781471;-0,8276201;-0,5819808;-1,14742;-0,8669184;-1,626395;-1,639321;-1,633624;-0,7556031
-0,8662557;-0,9170378;-1,454962;-0,954918;-1,370595;-1,091026;-2,541281;-1,014834;-0,444288;-0,7596768;-1,278363;-1,296644;-0,4499049;-0,7369557;-1,462132;-0,7625398;-0,4011714;-0,363198;-1,762548;-1,519444;-1,385346;-1,428733;-1,190187;-1,021553;-1,229887;-1,458134;-1,30596;-1,10358;-0,8309402;-1,412761;-1,154774;-1,895488;-1,978336;-1,925627;-1,025463
-1,136518;-1,192541;-1,767643;-1,217026;-1,606867;-1,338326;-2,830801;-1,263054;-0,725098;-0,9664602;-1,51191;-1,551008;-0,6587987;-0,9820438;-1,724468;-1,008132;-0,6484545;-0,666791;-2,053717;-1,785474;-1,671407;-1,716437;-1,429018;-1,296889;-1,500089;-1,72326;-1,579932;-1,35243;-1,066797;-1,690895;-1,435045;-2,191377;-2,290514;-2,212699;-1,303934
-1,429991;-1,453413;-2,039919;-1,459474;-1,862713;-1,601243;-3,122582;-1,476799;-0,9524076;-1,222511;-1,756711;-1,800278;-0,9116366;-1,235054;-1,990154;-1,258144;-0,9084989;-0,9237227;-2,324979;-2,056266;-1,940494;-1,99143;-1,668873;-1,562164;-1,781629;-2,025163;-1,856538;-1,61088;-1,319043;-1,962889;-1,733976;-2,48389;-2,567785;-2,478544;-1,585268
-1,637555;-1,726416;-2,32266;-1,718163;-2,07229;-1,869314;-3,390522;-1,730528;-1,251438;-1,518733;-2,039313;-2,055628;-1,214105;-1,508482;-2,265613;-1,513124;-1,180702;-1,155522;-2,601591;-2,32361;-2,19762;-2,303983;-1,928421;-1,836769;-2,032645;-2,327519;-2,138756;-1,873381;-1,578333;-2,203192;-2,033819;-2,760462;-2,815562;-2,74947;-1,846224
-1,899652;-2,018927;-2,595448;-1,978415;-2,296893;-2,134224;-3,636104;-1,974315;-1,484956;-1,785609;-2,322346;-2,31773;-1,593777;-1,809448;-2,538357;-1,819894;-1,486923;-1,403191;-2,86033;-2,581246;-2,447584;-2,576082;-2,196279;-2,099093;-2,278709;-2,630556;-2,437011;-2,127536;-1,841932;-2,479439;-2,336629;-3,040723;-3,050996;-2,988326;-2,088732
-2,198826;-2,276323;-2,851352;-2,256587;-2,515613;-2,386914;-3,874039;-2,225177;-1,737488;-2,068069;-2,611535;-2,593542;-1,914359;-2,071118;-2,79405;-2,138668;-1,758108;-1,650417;-3,168894;-2,826219;-2,708271;-2,84626;-2,459986;-2,362617;-2,507834;-2,921697;-2,702193;-2,415726;-2,087028;-2,752686;-2,661388;-3,304519;-3,297911;-3,236333;-2,292621
-2,433138;-2,499166;-3,071055;-2,495914;-2,760421;-2,650492;-4,083714;-2,474226;-1,980785;-2,337364;-2,856746;-2,87577;-2,149655;-2,350513;-3,051654;-2,398043;-1,974355;-1,898469;-3,446562;-3,093241;-2,972603;-3,127754;-2,704615;-2,626068;-2,752508;-3,172998;-2,973329;-2,696645;-2,318849;-3,021413;-2,962109;-3,569886;-3,521007;-3,476059;-2,517478
-2,662981;-2,733614;-3,309443;-2,743833;-3,003496;-2,897148;-4,25347;-2,730074;-2,191538;-2,577186;-3,093842;-3,141507;-2,337202;-2,593691;-3,283114;-2,681046;-2,229311;-2,163899;-3,66328;-3,339228;-3,220388;-3,36708;-2,926241;-2,875222;-2,966917;-3,404025;-3,224024;-2,923722;-2,537796;-3,279689;-3,194136;-3,79617;-3,733446;-3,704684;-2,781411
-2,883955;-2,956231;-3,514163;-2,972981;-3,217147;-3,104486;-4,441025;-2,966617;-2,462052;-2,801867;-3,339824;-3,356747;-2,521953;-2,821917;-3,496743;-2,936295;-2,448411;-2,429127;-3,885146;-3,539866;-3,45048;-3,57246;-3,134268;-3,116527;-3,177732;-3,639678;-3,478269;-3,150015;-2,770719;-3,502555;-3,433734;-3,985748;-3,915967;-3,899246;-3,026022
-3,079033;-3,179264;-3,715525;-3,204327;-3,369745;-3,294154;-4,587049;-3,165863;-2,741531;-2,992841;-3,548757;-3,509289;-2,743984;-3,028856;-3,694402;-3,15811;-2,687707;-2,698965;-4,092934;-3,742191;-3,662896;-3,767647;-3,345376;-3,335688;-3,383162;-3,855113;-3,706422;-3,365418;-3,023829;-3,708481;-3,664762;-4,178534;-4,085691;-4,086604;-3,243756
